# METADATA:
# 000AA: Castels
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000AA;2022-11-16 17:30:00;15.1;999.5;75;10.7;3.2;;275;;
000AA;2022-11-16 18:00:00;14.9;999.1;76;10.7;3.2;;24;0;0
000AA;2022-11-16 18:30:00;14.9;999;75;10.5;4.8;;45;;
000AA;2022-11-16 19:00:00;14.8;999.3;75;10.4;1.6;;53;0;0
000AA;2022-11-16 19:30:00;14.9;998.6;74;10.3;3.2;;355;;
000AA;2022-11-16 20:00:00;14.9;998.4;75;10.5;4.8;;263;0;0
000AA;2022-11-16 20:30:00;15;998.4;74;10.4;3.2;;254;;
000AA;2022-11-16 21:00:00;15.1;998.1;74;10.5;4.8;;238;0;0
000AA;2022-11-16 21:30:00;15.2;999;74;10.6;3.2;;244;;
000AA;2022-11-16 22:00:00;15.1;999.1;75;10.7;6.4;;186;0;0
000AA;2022-11-16 22:30:00;13.8;999.7;86;11.5;4.8;;165;;
000AA;2022-11-16 23:00:00;13.6;999.3;91;12.2;4.8;;277;0;2.6
000AA;2022-11-16 23:30:00;13.8;999.7;93;12.7;3.2;;207;;
000AA;2022-11-17 00:00:00;14.2;1000;91;12.8;4.8;;229;0;0
000AA;2022-11-17 00:30:00;14.4;999.9;90;12.8;4.8;;173;;
000AA;2022-11-17 01:00:00;14.6;999.9;89;12.8;4.8;;269;0;0
000AA;2022-11-17 01:30:00;14.4;999.8;88;12.5;3.2;;184;;
000AA;2022-11-17 02:00:00;14.4;999.8;86;12.1;3.2;;204;0;0
000AA;2022-11-17 02:30:00;14;999.9;88;12;3.2;;189;;
000AA;2022-11-17 03:00:00;14.1;1000.2;87;12;3.2;;217;0;0
000AA;2022-11-17 03:30:00;13.9;1000.1;86;11.6;4.8;;192;;
000AA;2022-11-17 04:00:00;13.6;1000.4;88;11.7;3.2;;236;0;0
000AA;2022-11-17 04:30:00;13.7;1000.5;88;11.8;3.2;;190;;
